,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added
2203,Crazy Traffic Light DEMO,0,1,['PC'],1,['itch.io'],['Racing'],2019-12-16,0.0,0,0,,"{'owned': 1, 'dropped': 1}"
2204,Zaynes Return,0,1,['Android'],1,['itch.io'],['Action'],2019-12-06,0.0,0,1,,"{'owned': 1, 'playing': 1}"
2205,Нур-Султан,0,1,['Web'],1,['itch.io'],[],2019-04-06,0.0,0,0,,{'owned': 2}
2206,Territory Idle,0,1,['PC'],1,['Steam'],"['Strategy', 'Indie']",2019-03-05,0.0,0,0,,{'owned': 2}
2207,Hellink,0,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'itch.io']","['Educational', 'Indie']",2019-01-24,0.0,0,0,,{'owned': 2}
2208,Dots: Revamped!,0,1,['PC'],1,['Steam'],"['Casual', 'Indie', 'Action']",2019-07-23,0.0,0,0,,{'owned': 2}
2209,OOTP Baseball 20,0,2,"['PC', 'Apple Macintosh']",1,['App Store'],"['Simulation', 'Sports']",2019-03-24,0.0,0,0,,{'owned': 2}
2210,Stunt Kite Party,0,3,"['PC', 'PlayStation', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Nintendo Store']","['Indie', 'Family', 'Action', 'Sports']",2019-02-08,0.0,0,0,,{'owned': 2}
2211,Beauty And Violence: Valkyries,0,1,['PC'],1,['Steam'],"['Indie', 'Action', 'RPG']",2019-10-18,0.0,0,0,,"{'yet': 1, 'toplay': 1}"
2212,Fight Knight - A Night to Fight,0,1,['PC'],1,['itch.io'],[],2019-02-16,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2213,Nioh 2 Open Beta,0,1,['PlayStation'],1,['PlayStation Store'],[],2019-11-01,0.0,0,1,,"{'owned': 1, 'dropped': 1}"
2214,Warhammer Age of Sigmar: Champions,0,3,"['PC', 'Apple Macintosh', 'Nintendo']",2,"['Steam', 'Nintendo Store']",['Strategy'],2019-04-16,0.0,0,0,,{'owned': 2}
2215,inbento,0,1,['iOS'],1,['App Store'],"['Casual', 'Puzzle']",2019-09-03,0.0,0,1,,"{'yet': 1, 'dropped': 1}"
2216,In the Pause between the Ringing by Studio Oleomingus,0,3,"['PC', 'Apple Macintosh', 'Linux']",1,['itch.io'],[],2019-01-25,0.0,0,1,,{'owned': 2}
2217,Unlock The King,0,2,"['PC', 'Apple Macintosh']",1,['Steam'],"['Casual', 'Strategy']",2019-11-20,0.0,0,2,,{'dropped': 2}
2218,Hope; or How We Survived,0,1,['PC'],1,['Steam'],"['Casual', 'Indie', 'Action']",2019-11-01,0.0,0,2,,{'beaten': 2}
2219,Climbros,2,1,['PC'],1,['Steam'],"['Casual', 'Indie', 'Action']",2019-09-19,0.0,0,0,,{'owned': 2}
2220,Shattered Plane,0,2,"['iOS', 'Android']",1,['App Store'],['Strategy'],2019-03-23,0.0,0,1,,"{'owned': 1, 'beaten': 1}"
2221,Conga Master Go!,0,1,['PlayStation'],1,['PlayStation Store'],['Casual'],2019-07-24,0.0,0,0,,"{'yet': 1, 'owned': 1}"
2222,Bricks Ball Crusher,0,2,"['iOS', 'Android']",2,"['App Store', 'Google Play']","['Casual', 'Arcade', 'Puzzle']",2019-08-21,0.0,0,2,,"{'owned': 1, 'beaten': 1}"
2223,DRAGON BALL XENOVERSE 2 Lite,0,1,['PlayStation'],1,['PlayStation Store'],['Fighting'],2019-03-20,0.0,0,0,,"{'owned': 1, 'dropped': 1}"
2224,Arcade Archives X MULTIPLY,0,2,"['PlayStation', 'Nintendo']",2,"['PlayStation Store', 'Nintendo Store']",[],2019-08-08,0.0,0,0,,{'owned': 2}
2225,Arcade Archives TIME PILOT,0,1,['PlayStation'],1,['PlayStation Store'],[],2019-04-12,0.0,0,0,,{'owned': 2}
2226,Sprint RPG,0,1,['iOS'],1,['App Store'],"['Casual', 'Action']",2019-06-13,0.0,0,0,,"{'owned': 1, 'playing': 1}"
2227,Flashback Mobile,0,1,['iOS'],1,['App Store'],['Adventure'],2019-07-17,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2228,Oceanarium by Paloma Dawkins,0,1,['PC'],1,['itch.io'],['Adventure'],2019-01-25,0.0,0,1,,"{'yet': 1, 'playing': 1}"
2229,Flux Caves,0,2,"['PC', 'Apple Macintosh']",2,"['Steam', 'itch.io']","['Casual', 'Indie', 'Puzzle']",2019-01-12,0.0,0,2,,"{'owned': 1, 'dropped': 1}"
2230,Fast and Low,2,1,['PC'],1,['Steam'],"['Indie', 'Action', 'Simulation']",2019-06-20,0.0,0,0,,{'owned': 2}
2231,TALION,0,2,"['iOS', 'Android']",2,"['App Store', 'Google Play']","['Action', 'RPG']",2019-05-28,0.0,0,0,,"{'yet': 1, 'owned': 1}"
2232,The Language of Love,0,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'itch.io']","['Indie', 'Simulation']",2019-05-21,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2233,Jump Off The Bridge,3,1,['PC'],1,['Steam'],"['Indie', 'Adventure', 'Action']",2019-05-01,0.0,0,0,,{'owned': 2}
2234,Roblox studio,0,3,"['PC', 'Android', 'Apple Macintosh']",1,['itch.io'],['Platformer'],2019-03-22,0.0,0,0,,"{'owned': 1, 'toplay': 1}"
2235,The Dreadful Whispers,0,1,['PC'],2,"['Steam', 'itch.io']","['Indie', 'Platformer', 'Adventure']",2019-09-20,0.0,0,0,,{'owned': 2}
2236,Elemental Dungeon Online,0,2,"['iOS', 'Android']",1,['App Store'],"['Adventure', 'RPG']",2019-08-24,0.0,0,0,,"{'owned': 1, 'playing': 1}"
2237,Planescape: Torment and Icewind Dale: Enhanced Editions,0,3,"['PlayStation', 'Xbox', 'Nintendo']",1,['Nintendo Store'],['RPG'],2019-10-15,0.0,0,1,,"{'yet': 1, 'owned': 1}"
