,name,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,added,month
30,PlayerUnknown’s Battlegrounds,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Shooter', 'Massively Multiplayer', 'Action']","['Co-op', 'Early Access', 'First-Person', 'FPS', 'Memes', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvP', 'Survival', 'Tactical', 'Third-Person Shooter', 'Violent', 'Walking Simulator', 'Online multiplayer', 'cooperative', 'stats', 'Battle Royale']",2017-12-20,3.38,4,1051,81,"{'yet': 49, 'owned': 3522, 'beaten': 205, 'toplay': 51, 'dropped': 576, 'playing': 201}",12
31,Dishonored 2,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",2,"['Action', 'RPG']","['Full controller support', 'Steam Achievements', 'Assassin', 'Steam Cloud', 'Atmospheric', 'Dystopian', 'Exploration', 'Female Protagonist', 'First-Person', 'Gore', 'Great Soundtrack', 'Heist', 'Illuminati', 'Magic', 'Open World', 'Parkour', 'Singleplayer', 'Stealth', 'Steampunk', 'Story Rich', 'Supernatural', 'steam-trading-cards', 'Immersive Sim']",2016-11-10,4.25,4,1070,86,"{'yet': 332, 'owned': 2793, 'beaten': 773, 'toplay': 358, 'dropped': 205, 'playing': 112}",11
32,Cities: Skylines,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",2,"['Strategy', 'Simulation']","['Includes level editor', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Building', 'City Builder', 'Economy', 'Family Friendly', 'Funny', 'Great Soundtrack', 'Management', 'Mod', 'Moddable', 'Modern', 'Realistic', 'Real-Time with Pause', 'Replay Value', 'Resource Management', 'Sandbox', 'Singleplayer', 'steam-trading-cards']",2015-03-10,4.16,4,834,85,"{'yet': 181, 'owned': 3529, 'beaten': 261, 'toplay': 74, 'dropped': 323, 'playing': 174}",3
33,Firewatch,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",3,"['Indie', 'Adventure', 'Simulation']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Colorful', 'Comedy', 'Drama', 'Exploration', 'First-Person', 'Funny', 'Great Soundtrack', 'Horror', 'Mature', 'Mystery', 'Open World', 'Short', 'Singleplayer', 'Story Rich', 'Thriller', 'Walking Simulator', 'achievements', 'steam-trading-cards']",2016-02-08,4.3,5,1425,81,"{'yet': 154, 'owned': 2503, 'beaten': 1448, 'toplay': 289, 'dropped': 91, 'playing': 38}",2
34,Paladins,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",2,"['Shooter', 'Action']","['In-App Purchases', 'Partial Controller Support', 'Anime', 'Steam Achievements', 'Co-op', 'Early Access', 'Fantasy', 'First-Person', 'FPS', 'Free to Play', 'Funny', 'Memes', 'MOBA', 'Multiplayer', 'Online Co-Op', 'PvP', 'Survival', 'Team-Based', 'Online multiplayer', 'cooperative', 'steam-trading-cards']",2016-09-15,3.09,3,798,78,"{'yet': 76, 'owned': 3688, 'beaten': 73, 'toplay': 13, 'dropped': 508, 'playing': 60}",9
35,INSIDE,5,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Nintendo']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store', 'Epic Games']",6,"['Adventure', 'Action', 'RPG', 'Puzzle', 'Indie', 'Platformer']","['2.5D', 'Full controller support', 'Oyun Kumandası Desteği', 'Steam Achievements', 'Steam Başarımları', 'Steam Cloud', 'Atmospheric', 'Tek Oyunculu', 'Dark', 'Dystopian', 'Great Soundtrack', 'Horror', 'Mystery', 'Puzzle-Platformer', 'Sci-fi', 'Short', 'Singleplayer', 'Stealth', 'Story Rich', 'achievements', 'controller support', 'european']",2016-06-28,4.39,5,1421,87,"{'yet': 234, 'owned': 2369, 'beaten': 1354, 'toplay': 304, 'dropped': 100, 'playing': 35}",6
36,NieR:Automata,3,"['PC', 'PlayStation', 'Xbox']",2,"['Steam', 'Xbox Store']",2,"['Action', 'RPG']","['Partial Controller Support', 'Anime', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Bullet Hell', 'Character Action Game', 'Female Protagonist', 'Great Soundtrack', 'Hack and Slash', 'JRPG', 'Nudity', 'Open World', 'Post-apocalyptic', 'Robots', 'RPG', 'Sci-fi', 'Singleplayer', 'Spectacle fighter', 'Story Rich', 'Violent', 'steam-trading-cards']",2017-03-17,4.35,5,1168,86,"{'yet': 296, 'owned': 2197, 'beaten': 832, 'toplay': 596, 'dropped': 212, 'playing': 176}",3
37,Darksiders Warmastered Edition,5,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']",2,"['Action', 'RPG']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Dark Fantasy', 'Demons', 'Difficult', 'Fantasy', 'Gore', 'Hack and Slash', 'Metroidvania', 'Open World', 'Post-apocalyptic', 'Remake', 'RPG', 'Singleplayer', 'Third Person', 'Violent', 'steam-trading-cards']",2016-11-29,3.67,4,558,79,"{'yet': 342, 'owned': 3385, 'beaten': 353, 'toplay': 41, 'dropped': 154, 'playing': 31}",11
38,Monster Hunter: World,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",2,"['Action', 'RPG']","['Action-Adventure', 'Action RPG', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Character Customization', 'Co-op', 'Difficult', 'Dinosaurs', 'Exploration', 'Fantasy', 'Great Soundtrack', 'Hack and Slash', 'Hunting', 'JRPG', 'Multiplayer', 'Online Co-Op', 'Open World', 'Replay Value', 'RPG', 'Singleplayer', 'Third Person', 'cooperative', '3rd-Person Perspective', 'Souls-like', 'Monsters', 'atmosphere', 'steam-trading-cards', 'stats']",2018-01-26,4.09,5,960,89,"{'yet': 199, 'owned': 2615, 'beaten': 280, 'toplay': 474, 'dropped': 346, 'playing': 305}",1
39,Call of Duty: Black Ops III,5,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Xbox 360 Store']",3,"['Shooter', 'Massively Multiplayer', 'Action']","['Full controller support', 'Steam Achievements', 'Steam Leaderboards', 'Atmospheric', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Co-op', 'First-Person', 'FPS', 'Futuristic', 'Gore', 'Great Soundtrack', 'Illuminati', 'Multiplayer', 'Open World', 'Parkour', 'Quick-Time Events', 'Robots', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Zombies', 'cooperative', 'battle']",2015-11-06,3.24,3,924,73,"{'yet': 122, 'owned': 3057, 'beaten': 496, 'toplay': 71, 'dropped': 339, 'playing': 44}",11
