,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added,month
266,Daymare: 1998,3,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Adventure', 'Action']",2019-09-16,2.11,1,16,61.0,"{'yet': 1, 'owned': 79, 'beaten': 5, 'toplay': 18, 'dropped': 8}",9
268,Mosaic,3,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'GOG']","['Casual', 'Indie', 'Adventure']",2019-11-01,3.75,4,20,67.0,"{'yet': 8, 'owned': 26, 'beaten': 16, 'toplay': 52, 'dropped': 5, 'playing': 3}",11
269,Knights And Bikes,2,5,"['PC', 'PlayStation', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Action']",2019-08-27,3.38,4,13,80.0,"{'yet': 15, 'owned': 49, 'beaten': 2, 'toplay': 40, 'dropped': 2, 'playing': 2}",8
270,Transport Fever 2,4,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']","['Strategy', 'Simulation']",2019-12-12,4.0,4,8,76.0,"{'yet': 4, 'owned': 86, 'beaten': 3, 'toplay': 12, 'dropped': 3, 'playing': 2}",12
271,Battlefleet Gothic: Armada 2,3,1,['PC'],1,['Steam'],['Strategy'],2019-01-24,3.75,4,16,77.0,"{'yet': 4, 'owned': 82, 'beaten': 1, 'toplay': 18, 'dropped': 3, 'playing': 2}",1
274,The Lord of the Rings Living Card Game,2,1,['PC'],1,['Steam'],"['Casual', 'Strategy', 'Adventure']",2019-11-05,2.67,4,6,75.0,"{'yet': 4, 'owned': 101, 'dropped': 2, 'playing': 1}",11
276,Oninaki,7,3,"['PC', 'PlayStation', 'Nintendo']",2,"['Steam', 'Nintendo Store']","['Action', 'RPG']",2019-08-22,2.83,3,12,70.0,"{'yet': 9, 'owned': 35, 'beaten': 4, 'toplay': 48, 'dropped': 8, 'playing': 3}",8
281,LEFT ALIVE,3,2,"['PC', 'PlayStation']",2,"['Steam', 'PlayStation Store']","['Adventure', 'Action']",2019-03-05,2.27,1,15,38.0,"{'yet': 10, 'owned': 43, 'beaten': 1, 'toplay': 44, 'dropped': 4, 'playing': 3}",3
287,Fade to Silence,1,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",['RPG'],2019-04-30,3.29,3,17,56.0,"{'yet': 8, 'owned': 51, 'beaten': 2, 'toplay': 29, 'dropped': 8, 'playing': 2}",4
301,Destiny 2: Shadowkeep,0,3,"['PC', 'PlayStation', 'Xbox']",2,"['Steam', 'Xbox Store']",['Action'],2019-10-01,3.57,4,28,75.0,"{'yet': 9, 'owned': 15, 'beaten': 11, 'toplay': 35, 'dropped': 10, 'playing': 13}",10
302,DEAD OR ALIVE 6: Core Fighters,0,2,"['PlayStation', 'Xbox']",2,"['PlayStation Store', 'Xbox Store']","['Action', 'Fighting']",2019-03-01,3.35,4,20,74.0,"{'yet': 2, 'owned': 71, 'beaten': 2, 'dropped': 13, 'playing': 4}",3
303,The Blackout Club,2,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Indie', 'Action', 'Simulation']",2019-07-30,3.38,3,13,68.0,"{'yet': 4, 'owned': 56, 'beaten': 3, 'toplay': 21, 'dropped': 6, 'playing': 2}",7
306,Vane,3,2,"['PC', 'PlayStation']",2,"['Steam', 'PlayStation Store']","['Indie', 'Adventure']",2019-01-15,3.25,4,16,56.0,"{'yet': 8, 'owned': 34, 'beaten': 8, 'toplay': 36, 'dropped': 4}",1
316,Travis Strikes Again: No More Heroes,0,3,"['PC', 'PlayStation', 'Nintendo']",2,"['Steam', 'Nintendo Store']",['Action'],2019-01-18,3.92,4,24,65.0,"{'yet': 5, 'owned': 11, 'beaten': 22, 'toplay': 41, 'dropped': 7}",1
320,ONE PIECE World Seeker,19,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Adventure', 'Action']",2019-03-14,3.06,3,17,58.0,"{'yet': 4, 'owned': 44, 'beaten': 8, 'toplay': 19, 'dropped': 7, 'playing': 2}",3
334,DAEMON X MACHINA,0,2,"['PC', 'Nintendo']",1,['Nintendo Store'],['Action'],2019-09-13,2.45,3,11,70.0,"{'yet': 5, 'owned': 4, 'toplay': 54, 'dropped': 10, 'playing': 2}",9
