name,id,number of platforms,platforms,number of stores,stores,number of genres,genres,tags,release date,rating,max rating,rating count,metacritic score,yet,owned,beaten,toplay,dropped,playing,users,month,year
Flat Heroes,9673,2,"['PC', 'PlayStation']",3,"['Steam', 'PlayStation Store', 'Nintendo Store']",3,"['Platformer', 'Indie', 'Action']","['2D', 'Partial Controller Support', 'Steam Cloud', 'Local Co-Op', 'Local Multiplayer', 'Minimalist', 'Singleplayer', 'Split Screen', 'party', 'dificult']",2016-09-08,3.19,4,31,82,23,381,8,5,10,4,393,9,2016
Slime-san,10613,4,"['PC', 'Apple Macintosh', 'Linux', 'Nintendo']",2,"['Steam', 'Nintendo Store']",3,"['Indie', 'Adventure', 'Action']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Fast-Paced', 'Funny', 'Local Co-Op', 'Local Multiplayer', 'Pixel Graphics', 'Singleplayer', 'Split Screen', 'steam-trading-cards']",2017-04-07,2.81,4,21,78,45,368,3,2,11,2,373,4,2017
ICEY,11950,6,"['PC', 'PlayStation', 'iOS', 'Android', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'App Store', 'Nintendo Store', 'Google Play']",4,"['Indie', 'Adventure', 'Action', 'RPG']","['2D', 'Full controller support', 'Anime', 'Steam Achievements', 'Steam Cloud', 'Character Action Game', 'Cyberpunk', 'Female Protagonist', 'Great Soundtrack', 'Hack and Slash', 'Metroidvania', 'Multiplayer', 'Narration', 'Nudity', 'RPG', 'Sci-fi', 'Side Scroller', 'Singleplayer', 'Spectacle fighter', 'role-playing', 'steam-trading-cards', 'stats']",2016-11-17,3.41,4,63,84,33,313,40,11,26,6,359,11,2016
Below,42236,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",3,"['Indie', 'Adventure', 'RPG']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Crafting', 'Difficult', 'Dungeon Crawler', 'Exploration', 'Great Soundtrack', 'Mystery', 'Perma Death', 'RPG', 'Singleplayer', 'Roguelite', 'Roguelike', 'stats']",2018-12-14,3.24,3,105,71,21,283,6,70,37,8,297,12,2018
Catherine: Full Body,244694,2,"['PlayStation', 'Nintendo']",1,['PlayStation Store'],4,"['Adventure', 'Action', 'RPG', 'Puzzle']","['Action-Adventure', 'Anime', 'Atmospheric', 'Cinematic', 'Difficult', 'Gore', 'Great Soundtrack', 'Horror', 'Puzzle-Platformer', 'RPG', 'Sexual Content', 'Singleplayer', 'Story Rich', 'Violent', 'interactive-movie', 'japanese-style']",2019-09-03,4.07,5,57,82,39,141,39,183,10,12,192,9,2019
Shadwen,2443,4,"['PC', 'PlayStation', 'Apple Macintosh', 'Linux']",3,"['Steam', 'PlayStation Store', 'GOG']",2,"['Adventure', 'Action']","['Full controller support', 'Includes level editor', 'Steam Achievements', 'Assassin', 'Atmospheric', 'Steam Workshop', 'Female Protagonist', 'Level Editor', 'Medieval', 'Physics', 'Singleplayer', 'Stealth', 'Third Person', 'achievements', 'controller support', 'steam-trading-cards']",2016-05-16,3.04,4,19,53,24,376,2,5,16,1,379,5,2016
Space Run Galaxy,16071,1,['PC'],1,['Steam'],2,"['Strategy', 'Indie']","['Steam Achievements', 'Steam Cloud', 'Multiplayer', 'Singleplayer', 'Space', 'Tower Defense', 'steam-trading-cards']",2016-06-17,2.29,1,14,75,26,384,2,2,9,0,386,6,2016
Guild of Dungeoneering,1091,4,"['PC', 'iOS', 'Android', 'Apple Macintosh']",4,"['Steam', 'App Store', 'GOG', 'Google Play']",3,"['Card', 'Indie', 'RPG']","['2D', 'Steam Achievements', 'Card Game', 'Dungeon Crawler', 'Great Soundtrack', 'RPG', 'Singleplayer', 'Turn-Based', 'role-playing', 'Roguelite', 'Roguelike', 'steam-trading-cards']",2015-07-13,3.71,4,33,72,33,361,3,5,19,2,366,7,2015
Five Nights at Freddy's: Sister Location,8577,4,"['PC', 'Xbox', 'iOS', 'Android']",4,"['Steam', 'Xbox Store', 'App Store', 'Google Play']",3,"['Indie', 'Action', 'Simulation']","['Atmospheric', 'Dark', 'Difficult', 'First-Person', 'Funny', 'Gore', 'Horror', 'Lore-Rich', 'Memes', 'Mystery', 'Robots', 'Singleplayer', 'Story Rich', 'Survival', 'Survival Horror']",2016-10-07,2.52,1,21,62,40,363,5,1,8,1,369,10,2016
STASIS,11018,2,"['PC', 'Apple Macintosh']",2,"['Steam', 'GOG']",1,['Adventure'],"['2D', 'Captions available', 'Steam Achievements', 'Atmospheric', 'Gore', 'Horror', 'Isometric', 'Kickstarter', 'Point & Click', 'Sci-fi', 'Singleplayer', 'Space', 'Story Rich', 'steam-trading-cards']",2015-08-30,3.63,4,40,79,26,340,31,10,9,0,371,8,2015
The Little Acre,656,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG']",3,"['Family', 'Indie', 'Adventure']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Colorful', 'Comedy', 'Fantasy', 'Female Protagonist', 'Funny', 'Hand-drawn', 'Hidden Object', 'Isometric', 'Narration', 'Point & Click', 'Short', 'Singleplayer', 'Story Rich', 'controller support', 'overlay', 'steam-trading-cards']",2016-12-12,3.39,4,28,62,33,339,22,11,6,3,364,12,2016
Hand of Fate 2,15406,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",3,"['Indie', 'Action', 'RPG']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Board Game', 'Card Game', 'Dungeon Crawler', 'RPG', 'Singleplayer', 'role-playing', 'Roguelike']",2017-11-06,3.88,4,73,81,24,314,18,15,28,13,345,11,2017
In Between,7229,7,"['PC', 'PlayStation', 'Xbox', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Google Play']",2,"['Indie', 'Adventure']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Dark', 'Difficult', 'Great Soundtrack', 'Puzzle-Platformer', 'Singleplayer', 'Story Rich', 'steam-trading-cards']",2015-08-21,2.44,1,17,68,13,388,6,1,3,1,395,8,2015
Dead Synchronicity: Tomorrow Comes Today,1189,6,"['PC', 'PlayStation', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'GOG', 'Nintendo Store']",4,"['Indie', 'Adventure', 'Action', 'Puzzle']","['2D', 'Steam Achievements', 'Steam Cloud', 'Other', 'Dark', 'Point & Click', 'Post-apocalyptic', 'Singleplayer', 'achievements', 'steam-trading-cards']",2015-04-09,3.18,4,33,70,22,353,30,5,1,0,383,4,2015
The Messenger (2018),52384,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']",5,"['Adventure', 'Action', 'RPG', 'Indie', 'Platformer']","['Retro', '8-Bit', '16-bit']",2018-08-30,4.41,5,127,84,88,57,98,101,36,29,184,8,2018
