game,developer,number of devs,rating,rating count,metacritic,first dev
Resident Evil Revelations 2 / Biohazard Revelations 2,"['Capcom', 'Sony Computer Entertainment America']",2,3.69,438,72,Capcom
Oxenfree,"['Night School Studio', 'Night School Studio LLC', 'Night School Studios']",3,3.91,559,80,Night School Studio
Dark Souls II: Scholar of the First Sin,"['BANDAI NAMCO Entertainment America Inc.', 'FromSoftware']",2,4.15,602,79,BANDAI NAMCO Entertainment America Inc.
The Elder Scrolls Online: Tamriel Unlimited,"['Bethesda Softworks', 'Zenimax Online Studios']",2,3.47,460,77,Bethesda Softworks
Subnautica,"['Unknown Worlds Entertainment', 'Unknown Worlds Entertainment, Inc.']",2,4.26,668,83,Unknown Worlds Entertainment
ABZU,['Giant Squid'],1,3.97,624,83,Giant Squid
Persona 5,['Atlus'],1,4.38,918,93,Atlus
Sonic Mania,"['SEGA', 'PagodaWest Games', 'Christian Whitehead', 'Headcannon']",4,3.92,552,85,SEGA
The Outer Worlds,['Obsidian Entertainment'],1,4.0,593,80,Obsidian Entertainment
F1 2015,"['Codemasters', 'Feral Interactive']",2,2.73,193,61,Codemasters
Metro Exodus,['4A Games'],1,4.03,666,81,4A Games
Magicka 2,"['Paradox Interactive', 'Pieces Interactive']",2,3.65,414,69,Paradox Interactive
Starbound,['Chucklefish'],1,3.91,476,81,Chucklefish
Kholat,"['IMAGINATION S.C.', 'IMGN.PRO']",2,2.67,255,64,IMAGINATION S.C.
The Order: 1886,['Ready At Dawn'],1,3.75,675,63,Ready At Dawn
Prison Architect,"['Double Eleven', 'Introversion Software']",2,3.82,314,83,Double Eleven
Dying Light,['Techland'],1,4.1,655,74,Techland
Control,"['505 Games', 'Remedy Entertainment']",2,4.19,587,84,505 Games
Human: Fall Flat,"['505 Games', 'Curve Digital', 'No Brakes Games']",3,3.82,478,70,505 Games
Doki Doki Literature Club!,['Team Salvato'],1,4.06,619,78,Team Salvato
Celeste,['Matt Makes Games Inc.'],1,4.39,858,91,Matt Makes Games Inc.
Star Wars: Battlefront II (2017),['Electronic Arts DICE'],1,3.51,632,74,Electronic Arts DICE
The Awesome Adventures of Captain Spirit,['DONTNOD Entertainment'],1,3.64,564,77,DONTNOD Entertainment
RiME,"['QLOC', 'Tequila Works', 'Grey Box']",3,3.72,563,78,QLOC
Evolve Stage 2,['Turtle Rock Studios'],1,2.49,286,77,Turtle Rock Studios
Life is Strange: Before The Storm,"['Square Enix', 'Deck Nine']",2,3.93,694,77,Square Enix
The Red Solstice,['Ironward'],1,2.35,128,74,Ironward
Dungeons 2,"['Kalypso Media', 'Realmforge Studios']",2,2.83,177,70,Kalypso Media
Dead by Daylight,"['Behaviour Digital Inc.', 'Behaviour Interactive']",2,3.45,459,72,Behaviour Digital Inc.
Saints Row: Gat Out of Hell,"['Deep Silver', 'High Voltage Software', 'Volition']",3,3.06,429,66,Deep Silver
Forza Horizon 4,['Playground Games'],1,4.34,770,90,Playground Games
